,labels,label_index,time_interval,path_image
0,relax,1,4,exp_protocols/pics/relax.png
1,tiptoe,2,3,exp_protocols/pics/tiptoe.png
2,relax,1,4,exp_protocols/pics/relax.png
3,heels,3,3,exp_protocols/pics/heels.png
4,relax,1,4,exp_protocols/pics/relax.png
5,tiptoe,2,3,exp_protocols/pics/tiptoe.png
6,relax,1,4,exp_protocols/pics/relax.png
7,heels,3,3,exp_protocols/pics/heels.png
8,relax,1,4,exp_protocols/pics/relax.png
9,tiptoe,2,3,exp_protocols/pics/tiptoe.png
10,relax,1,4,exp_protocols/pics/relax.png
11,heels,3,3,exp_protocols/pics/heels.png
12,relax,1,4,exp_protocols/pics/relax.png
